женский	20	русский	Москва	неоконченное высшее	розовый	нежно-фиолетовый	фуксия	алый	красный	
женский	17	русский	видное	неоконченное среднее	малиновый	сиреневый	фиолетово-малиновый	класный	огненный	
мужской	45	russian	Moscow	высшее	magenta	violant	the siren	red	red	
женский	20	русский	Москва	неоконченное высшее	лиловый	сиреневый	пурпурный	бордовый	алый	
